id,type,name,weight,volume
battery,ITEM,battery,,100 ml
butane,ITEM,butane,573 mg,1 ml
notch,ITEM,notch,1 mg,1 ml
aerosol_paint,ITEM,aerosol_paint,1 mg,1 ml
permanent_ink,ITEM,permanent_ink,1 mg,1 ml
candle_wax,ITEM,candle_wax,1 mg,1 ml
flare_nitrate,ITEM,flare_nitrate,1 mg,1 ml
match,ITEM,match,1 mg,4 ml
oxygen,ITEM,oxygen,1 mg,1 ml
hydrogen,ITEM,hydrogen,1 mg,1 ml
nitrogen,ITEM,nitrogen,1 mg,1 ml
betavoltaic,ITEM,betavoltaic cell,160 g,250 ml
RTG_coffee,ITEM,radioisotope thermoelectric generator,4000 g,500 ml
aluminum_foil,ITEM,aluminum_foil,135 mg,10 ml
money,ITEM,cent,,0 ml
thread,ITEM,thread,1 g,250 ml
sinew,ITEM,sinew,1 g,250 ml
plant_fibre,ITEM,plant_fibre,1 g,250 ml
yarn,ITEM,yarn,1 g,250 ml
soap,ITEM,soap bar,10 g,250 ml
moisturizer,ITEM,moisturizer,25 g,25 ml
duct_tape,ITEM,duct_tape,2 g,2 ml
rolling_paper,ITEM,rolling_paper,1 g,100ml
cable,ITEM,copper wire,5413 mg,155 ml
copper_wire,ITEM,raw copper wire,4747 mg,110 ml
plut_cell,ITEM,plutonium fuel cell,20 g,5 ml
uran_cell,ITEM,uranium fuel cell,38 g,2 ml
plut_slurry_dense,ITEM,plut_slurry_dense,495 g,25 ml
plut_slurry,ITEM,plut_slurry,255 g,25 ml
rock,ITEM,rock,657 g,250 ml
pebble,ITEM,pebble,66 g,25 ml
pebble_clay,ITEM,clay pellet,3 g,250 ml
marble,ITEM,marble,3 g,250 ml
bearing,ITEM,ball bearing,10 g,250 ml
bb,ITEM,BB,1 g,200ml
feather,ITEM,feather,1 g,250 ml
down_feather,ITEM,down feather,10 mg,250 ml
120mm_HEAT,ITEM,120mm_HEAT,22725 g,250 ml
plasma,ITEM,solid hydrogen canister,183 g,2500 ml
gunpowder,ITEM,gunpowder,100 mg,250 ml
gunpowder_shotgun,ITEM,gunpowder_shotgun,,
gunpowder_pistol,ITEM,gunpowder_pistol,,
gunpowder_magnum_pistol,ITEM,gunpowder_magnum_pistol,,
gunpowder_rifle,ITEM,gunpowder_rifle,,
gunpowder_large_rifle,ITEM,gunpowder_large_rifle,,
gunpowder_artillery,ITEM,gunpowder_artillery,,
oxy_powder,ITEM,oxy_powder,1 g,250 ml
lye_powder,ITEM,lye_powder,2662 mg,250 ml
shotgun_primer,ITEM,shotgun primer,1 g,250 ml
smpistol_primer,ITEM,small pistol primer,1 g,250 ml
lgpistol_primer,ITEM,large pistol primer,1 g,250 ml
smrifle_primer,ITEM,small rifle primer,1 g,250 ml
lgrifle_primer,ITEM,large rifle primer,1 g,250 ml
spent_shotgun_primer,ITEM,spent shotgun primer,1 g,250 ml
spent_smpistol_primer,ITEM,spent small pistol primer,1 g,250 ml
spent_lgpistol_primer,ITEM,spent large pistol primer,1 g,250 ml
spent_smrifle_primer,ITEM,spent small rifle primer,1 g,250 ml
spent_lgrifle_primer,ITEM,spent large rifle primer,1 g,250 ml
rubber_slug,ITEM,rubber slug,2 g,250 ml
chunk_rubber,ITEM,chunk of rubber,38 g,250 ml
copper,ITEM,copper,5 g,128 ml
medical_tape,ITEM,medical_tape,1 g,1 ml
charcoal,ITEM,charcoal,1040 mg,5 ml
carbon_electrode,ITEM,carbon electrode rod,10 g,50 ml
coal_lump,ITEM,coal_lump,931 mg,200 ml
albuterol,ITEM,albuterol,1 mg,1 ml
ampoule,ITEM,RA21E medical ampoule,1 g,250 ml
stimpack_ammo,ITEM,RA10K stimulant module,1 g,250 ml
liq_bandage,ITEM,liq_bandage,33 mg,10 ml
rebreather_filler_soda_lime,ITEM,rebreather_filler_soda_lime,13 g,33 ml
rebreather_filler_ko2,ITEM,rebreather_filler_ko2,6 g,13 ml
gasfilter_s,ITEM,filter mask cartridge,200 mg,1 ml
gasfilter_m,ITEM,gasfilter_m,,1 ml
nicotine_liquid,ITEM,nicotine_liquid,1 g,30 ml
fish_bait,ITEM,fish_bait,1 g,250 ml
spiked_rocket,ITEM,spiked homemade rocket,1510 g,1500 ml
explosive_hm_rocket,ITEM,explosive homemade rocket,990 g,1250 ml
incendiary_hm_rocket,ITEM,incendiary homemade rocket,1190 g,1500 ml
unfinished_charcoal,ITEM,unfinished_charcoal,250 g,300 ml
lamellae_lc,ITEM,mild steel lamella,14 g,100 ml
lamellae_ch,ITEM,hardened steel lamella,14 g,100 ml
chain_link,ITEM,chain link,320 mg,250 ml
lc_chain_link,ITEM,mild steel chain link,320 mg,250 ml
mc_chain_link,ITEM,medium steel chain link,,
hc_chain_link,ITEM,high steel chain link,,
ch_chain_link,ITEM,hardened steel chain link,,
qt_chain_link,ITEM,tempered steel chain link,,
nitrox,ITEM,nitrox,1 g,250 ml
extinguishing_agent,ITEM,extinguishing_agent,1 g,250 ml
teargas_spray,ITEM,teargas_spray,1 g,250 ml
tinder,ITEM,tinder,10 g,250 ml
RPG_die,ITEM,RPG die,1 g,250 ml
metal_RPG_die,ITEM,metal RPG die,1 g,250 ml
scrap_bronze,ITEM,chunk of bronze,300 g,38 ml
glowstick_juice,ITEM,glowstick_juice,1 mg,1 ml
quill_ink,ITEM,quill_ink,1 mg,1 ml
black_pen_ink,ITEM,black_pen_ink,1 mg,1 ml
blue_pen_ink,ITEM,blue_pen_ink,1 mg,1 ml
green_pen_ink,ITEM,green_pen_ink,1 mg,1 ml
red_pen_ink,ITEM,red_pen_ink,1 mg,1 ml
airgun_pellet_target,ITEM,air rifle target pellet,1 g,200ml
airgun_pellet_hunting,ITEM,air rifle hunting pellet,1 g,200ml
458wm,ammunition_type,.458 Winchester Magnum,,
50,ammunition_type,.50 BMG,,
4570,ammunition_type,.45-70,,
50ae,ammunition_type,.50 AE,,
50beowulf,ammunition_type,.50 Beowulf,,
450,ammunition_type,.450 Bushmaster,,
338lapua,ammunition_type,.338 Lapua,,
77mm_arisaka,ammunition_type,7.7x58mm Arisaka,,
nail,ammunition_type,nails,,
nuts_bolts,ammunition_type,nuts and bolts,,
barb,ammunition_type,barb,,
gene_sting,ammunition_type,yugg stinger,,
nether_huntsman_javelin_ammo,ammunition_type,alien outgrowth,,
BB,ammunition_type,BBs,,
bolt_ballista,ammunition_type,ballista bolts,,
bolt,ammunition_type,bolts,,
arrow,ammunition_type,arrows,,
strange_arrow,ammunition_type,strange arrows,,
atlatl,ammunition_type,atlatl spears,,
pebble,ammunition_type,pebbles,,
rock,ammunition_type,rocks,,
shot,ammunition_type,12 gauge,,
410shot,ammunition_type,.410,,
blunderbuss,ammunition_type,blunderbuss,,
22,ammunition_type,.22 LR,,
powder_blank,ammunition_type,powder blank,,
9mm,ammunition_type,9x19mm,,
357sig,ammunition_type,.357 SIG,,
357mag,ammunition_type,.357 Magnum,,
9x18,ammunition_type,9x18mm Makarov,,
380,ammunition_type,.380 ACP,,
38,ammunition_type,.38 Special,,
38super,ammunition_type,.38 Super,,
40,ammunition_type,.40 S&W,,
10mm,ammunition_type,10mm Auto,,
44,ammunition_type,.44 Magnum,,
45,ammunition_type,.45 ACP,,
454,ammunition_type,.454 Casull,,
460sw,ammunition_type,.460 S&W Magnum,,
45colt,ammunition_type,.45 Colt,,
500,ammunition_type,.500 S&W Magnum,,
57,ammunition_type,5.7x28mm,,
762,ammunition_type,7.62x39mm,,
545x39,ammunition_type,5.45x39mm,,
223,ammunition_type,.223,,
303,ammunition_type,.303 British,,
3006,ammunition_type,.30-06,,
30carbine,ammunition_type,.30 Carbine,,
270win,ammunition_type,.270 Winchester,,
308,ammunition_type,.308,,
40x46mm,ammunition_type,40x46mm grenade,,
40x53mm,ammunition_type,40x53mm grenade,,
66mm,ammunition_type,66mm HEAT,,
120mm,ammunition_type,120mm HEAT,,
84x246mm,ammunition_type,84x245mm cartridge,,
m235,ammunition_type,M235 66mm Incendiary TPA,,
mortar_60mm,ammunition_type,60 mm mortar cartridge,,
sling-ready_grenade,ammunition_type,sling-ready grenades,,
gasoline,ammunition_type,gasoline,,
jp8,ammunition_type,jp8,,
avgas,ammunition_type,avgas,,
diesel,ammunition_type,diesel,,
lamp_oil,ammunition_type,kerosene,,
crude_lamp_oil,ammunition_type,crude lamp oil,,
butane,ammunition_type,butane,,
aerosol_paint,ammunition_type,paint,,
permanent_ink,ammunition_type,ink,,
candle_wax,ammunition_type,wax,,
flare_nitrate,ammunition_type,flare pyrotechnic,,
match,ammunition_type,match,,
incense,ammunition_type,incense,,
oxygen,ammunition_type,oxygen,,
hydrogen,ammunition_type,hydrogen,,
nitrogen,ammunition_type,nitrogen,,
motor_oil,ammunition_type,motor oil,,
crude_oil,ammunition_type,crude oil,,
thread,ammunition_type,thread,,
anesthetic,ammunition_type,anesthetic,,
soap,ammunition_type,soap,,
tape,ammunition_type,duct tape,,
battery,ammunition_type,kJ,,
money,ammunition_type,cents,,
plutonium,ammunition_type,plutonium,,
uranium,ammunition_type,uranium,,
reactor_slurry,ammunition_type,plutonium slurry,,
12mm,ammunition_type,12mm slug,,
plasma,ammunition_type,solid hydrogen,,
flammable,ammunition_type,flammable liquid,,
weldgas,ammunition_type,welding gas,,
propane,ammunition_type,propane,,
biogas,ammunition_type,biogas,,
conc_alcohol,ammunition_type,concentrated alcohol,,
methanol_fuelcell,ammunition_type,methanol,,
8x40mm,ammunition_type,8x40mm caseless,,
20x66mm,ammunition_type,20x66mm caseless shotgun,,
signal_flare,ammunition_type,signal flare,,
charcoal,ammunition_type,charcoal,,
coal,ammunition_type,coal,,
thrown,ammunition_type,throwing weapon,,
ampoule,ammunition_type,chemical ampoule,,
albuterol,ammunition_type,albuterol,,
liq_bandage,ammunition_type,liquid bandage,,
stimpack_ammo,ammunition_type,stimulant module,,
components,ammunition_type,components,,
rebreather_filter,ammunition_type,rebreather CO2 scrubber,,
rebreather_o2_regenerator,ammunition_type,rebreather O2 regenerator,,
gasfilter_s,ammunition_type,filter mask cartridge,,
gasfilter_m,ammunition_type,gas mask cartridge,,
300,ammunition_type,.300 Winchester Magnum,,
32,ammunition_type,.32 ACP,,
762x25,ammunition_type,7.62x25mm Tokarev,,
flintlock,ammunition_type,paper cartridge,,
36paper,ammunition_type,.36 paper cartridge,,
44paper,ammunition_type,.44 cap & ball,,
762R,ammunition_type,7.62x54mmR,,
fishspear,ammunition_type,speargun spear,,
fish_bait,ammunition_type,fish bait,,
homebrew_rocket,ammunition_type,homebrew rocket,,
atgm,ammunition_type,152mm anti-tank guided missile,,
unfinished_char,ammunition_type,semi-charred fuel,,
chemical_spray,ammunition_type,sprayable chemical,,
milk,ammunition_type,milk,,
milk_raw,ammunition_type,raw milk,,
paintball,ammunition_type,paintball,,
nitrox,ammunition_type,compressed air,,
paper,ammunition_type,paper,,
extinguishing_agent,ammunition_type,extinguishing agent,,
teargas_spray,ammunition_type,tear gas spray,,
tinder,ammunition_type,tinder,,
esbit,ammunition_type,hexamine,,
water,ammunition_type,water,,
300blk,ammunition_type,.300 AAC Blackout,,
123ln,ammunition_type,12.3ln,,
273x110,ammunition_type,27.3x110 Diyua shotshell,,
273x44,ammunition_type,27.3x44 Diyua grenade,,
273x44RG,ammunition_type,27.3x44 Diyua rocket,,
33naval,ammunition_type,3.3 naval cartridge,,
caotel_cell,ammunition_type,Caotel cell,,
khuunaofaai_payload,ammunition_type,Khuunäöfaai firework payload,,
khuunaofaai_payload_fire,ammunition_type,Khuunäöfaai incendiary payload,,
khuunaofaai_payload_acid,ammunition_type,Khuunäöfaai corrosive payload,,
khuunaofaai_payload_glue,ammunition_type,Khuunäöfaai adhesive payload,,
glowstick_juice,ammunition_type,glowstick juice,,
cannon,ammunition_type,cannon ball,,
graphite,ammunition_type,graphite,,
quill_ink,ammunition_type,quill ink,,
black_pen_ink,ammunition_type,black pen ink,,
red_pen_ink,ammunition_type,red pen ink,,
blue_pen_ink,ammunition_type,blue pen ink,,
green_pen_ink,ammunition_type,green pen ink,,
ammonia_liquid,ammunition_type,ammonia,,
notch,ammunition_type,notch,,
turpentine,ammunition_type,turpentine,,
airgun_pellet,ammunition_type,airgun pellet,,
rivets,ammunition_type,rivets,,
3030,ammunition_type,.30-30 Winchester,,
oven,ITEM,disconnected oven,77 kg,290 L
stationary_water_purifier,ITEM,disconnected large water purifier,20 kg,50 L
arcade_machine,ITEM,disconnected arcade machine,77 kg,290 L
arc_furnace,ITEM,disconnected arc furnace,1024 kg,400 L
drill_press,ITEM,disconnected drill press,114 kg,200 L
tablesaw,ITEM,disconnected table saw,130 kg,500 L
mitresaw,ITEM,disconnected mitre saw,30 kg,170 L
bandsaw,ITEM,disconnected band saw,225 kg,500 L
router,ITEM,disconnected router table,500 kg,500 L
planer,ITEM,disconnected planer,130 kg,500 L
jointer,ITEM,disconnected jointer,300 kg,260 L
hydraulic_press,ITEM,disconnected hydraulic press,76 kg,500 L
air_compressor,ITEM,disconnected air compressor,80 kg,400 L
autoclave,ITEM,disconnected autoclave,34500 g,76 L
wall_light,ITEM,disconnected wall light,500 g,400 ml
standing_lamp,ITEM,disconnected standing lamp,2500 g,2 L
standing_floodlight,ITEM,disconnected standing floodlight,2750 g,2 L
standing_directed_floodlight,ITEM,disconnected standing directed floodlight,2750 g,2 L
wall_wiring,ITEM,wall wiring,1 g,1 ml
foot_locker_recharge_station,ITEM,disconnected foot locker recharging station,30000 g,215 L
box_battery_charger,ITEM,disconnected box battery charger,8100 g,65 L
compact_ASRG_containment,ITEM,disconnected advanced Stirling radioisotope generator,100 kg,150 L
oxygen_concentrator,ITEM,oxygen_concentrator,29 kg,110 L
hd_compressor_unit,ITEM,hd_compressor_unit,52500 g,150 L
glassblowers_crucible,ITEM,disconnected glassblower's crucible,55 kg,62500 ml
lathe,ITEM,disconnected lathe,150 kg,275 L
mill_vertical,ITEM,disconnected vertical mill,1134 kg,275 L
deep_fryer,ITEM,disconnected deep fryer,86 kg,368 L
oil_press_electric,ITEM,disconnected industrial oil press,140 kg,370 L
fake_char_kiln,ITEM,basecamp kiln,,
fake_char_smoker,ITEM,basecamp charcoal smoker,,
fake_forge,ITEM,basecamp forge,,
fake_clay_kiln,ITEM,basecamp clay kiln,,
fake_fireplace,ITEM,basecamp fireplace,,
fake_woodstove,ITEM,basecamp stove,,
fake_drop_hammer,ITEM,basecamp drop hammer,,
parkour_practice,ITEM,basecamp parkour gym,,
fake_digester_tank,ITEM,small anaerobic digester tank,,
light_minus_battery_cell,ITEM,ultra-light battery,3 g,1 ml
light_minus_disposable_cell,ITEM,ultra-light battery (disposable),,
light_battery_cell,ITEM,light battery (disposable),15 g,8 ml
light_cell_rechargeable,ITEM,light battery,27 g,
medium_battery_cell,ITEM,medium battery,85 g,17 ml
heavy_battery_cell,ITEM,small tool battery,350 g,382 ml
heavy_plus_battery_cell,ITEM,big tool battery,680 g,525 ml
heavy_atomic_battery_cell,ITEM,heavy plutonium fuel battery (disposable),1600 g,1000 ml
huge_atomic_battery_cell,ITEM,military plutonium fuel cell (disposable),34000 g,20 L
bio_adrenaline,ITEM,Adrenaline Pump CBM,250 g,
bio_ads,ITEM,Active Defense System CBM,1000 g,
bio_alarm,ITEM,Alarm System CBM,500 g,
bio_ar,ITEM,Integrated AR System CBM,100 g,
bio_armor_arms,ITEM,Subcutaneous Protective Mesh - Arms CBM,,
bio_armor_eyes,ITEM,Protective Lenses CBM,500 g,
bio_armor_head,ITEM,Subcutaneous Protective Mesh - Head CBM,1000 g,
bio_armor_legs,ITEM,Subcutaneous Protective Mesh - Legs CBM,,
bio_armor_torso,ITEM,Subcutaneous Protective Mesh - Torso CBM,3000 g,
bio_batteries,ITEM,Battery System CBM,250 g,
bio_blade,ITEM,Monomolecular Blade CBM,250 g,
bio_shotgun,ITEM,Shotgun Arm CBM,,
bio_blood_anal,ITEM,Blood Analysis CBM,150 g,
bio_blood_filter,ITEM,Blood Filter CBM,200 g,
bio_cable,ITEM,Cable Charger System CBM,250 g,
bio_carbon,ITEM,Subdermal Carbon Filament CBM,,
bio_chain_lightning,ITEM,Chain Lightning CBM,,
bio_claws,ITEM,Bionic Claws CBM,500 g,
bio_climate,ITEM,Internal Climate Control CBM,,
bio_cloak,ITEM,Cloaking System CBM,,
bio_cqb,ITEM,Close Quarters Battle CBM,250 g,
bio_dex_enhancer,ITEM,Wired Reflexes CBM,500 g,
bio_digestion,ITEM,Expanded Digestive System CBM,,
bio_ears,ITEM,Enhanced Hearing CBM,43 g,
bio_voice_b,ITEM,AudioVox CBM,100 g,
bio_mp3,ITEM,WearMan CBM,100 g,
bio_sonar,ITEM,Subaquatic Navigation System CBM,50 g,
bio_emp,ITEM,Directional EMP CBM,,
bio_emp_armgun,ITEM,EMP Projector CBM,,
bio_ethanol,ITEM,Ethanol Burner CBM,,
bio_evap,ITEM,Aero-Evaporator CBM,,
bio_eye_enhancer,ITEM,Ocular Amplifiers CBM,100 g,
bio_eye_optic,ITEM,Telescopic Eyes CBM,100 g,
bio_face_mask,ITEM,Facial Distortion CBM,200 g,
bio_faraday,ITEM,Dielectric Capacitance System CBM,500 g,
bio_fingerhack,ITEM,Fingerhack CBM,100 g,
bio_fitnessband,ITEM,Calorie Tracker CBM,10 g,
bio_flashbang,ITEM,Flashbang Generator CBM,500 g,
bio_flashlight,ITEM,Cranial Flashlight CBM,250 g,
bio_tattoo_led,ITEM,LED Tattoo CBM,20 g,
bio_geiger,ITEM,Integrated Dosimeter CBM,150 g,
bio_gills,ITEM,Respirator CBM,700 g,
bio_ground_sonar,ITEM,Terranian Sonar CBM,500 g,
bio_heat_absorb,ITEM,Heat Drain CBM,500 g,
bio_heatsink,ITEM,Thermal Dissipation CBM,,
bio_hydraulics,ITEM,Hydraulic Muscles CBM,,
bio_infrared,ITEM,Infrared Vision CBM,500 g,
bio_int_enhancer,ITEM,Cerebral Booster CBM,100 g,
bio_laser,ITEM,Finger-Mounted Laser CBM,500 g,
bio_leukocyte,ITEM,Leukocyte Breeder System CBM,600 g,
bio_lighter,ITEM,Finger Lighter CBM,500 g,
bio_lockpick,ITEM,Fingerpick CBM,200 g,
bio_magnet,ITEM,Electromagnetic Unit CBM,700 g,
bio_membrane,ITEM,Nictitating Membrane CBM,1 g,
bio_memory,ITEM,Enhanced Memory Banks CBM,100 g,
bio_metabolics,ITEM,Metabolic Interchange CBM,700 g,
bio_meteorologist,ITEM,Weather Reader CBM,700 g,
bio_nanobots,ITEM,Repair Nanobots CBM,200 g,
bio_night,ITEM,Artificial Night Generator CBM,,
bio_night_vision,ITEM,Implanted Night Vision CBM,100 g,
bio_ods,ITEM,Offensive Defense System CBM,1000 g,
bio_painkiller,ITEM,Sensory Dulling CBM,300 g,
bio_power_storage,ITEM,Power Storage CBM,70 g,
bio_power_storage_mkII,ITEM,Power Storage Mk. II CBM,50 g,
bio_probability_travel,ITEM,Probability Travel CBM,,
bio_purifier,ITEM,Air Filtration System CBM,100 g,
bio_radio,ITEM,Infolink CBM,100 g,
bio_radio_pat,ITEM,Modified Infolink CBM,100 g,
bio_radscrubber,ITEM,Radiation Scrubber System CBM,100 g,
bio_razors,ITEM,Fingertip Razors CBM,5 g,
bio_fuel_cell_gasoline,ITEM,Gasoline Fuel Cell CBM,600 g,
bio_recycler,ITEM,Recycler Unit CBM,1500 g,
bio_remote,ITEM,Remote Controller CBM,250 g,
bio_resonator,ITEM,Sonic Resonator CBM,,
bio_scent_mask,ITEM,Olfactory Mask CBM,1000 g,
bio_shock,ITEM,Electroshock Unit CBM,1000 g,
bio_shockwave,ITEM,Shockwave Generator CBM,1000 g,
bio_speed,ITEM,Synaptic Accelerator CBM,400 g,
bio_str_enhancer,ITEM,Muscle Augmentation CBM,1500 g,
bio_surgical_razor,ITEM,Autonomous Surgical Scalpels CBM,20 g,
bio_sunglasses,ITEM,Anti-Glare Compensators CBM,1 g,
bio_synlungs,ITEM,Synthetic Lungs CBM,800 g,
bio_targeting,ITEM,Targeting System CBM,250 g,
bio_taser,ITEM,Super Stun Gun CBM,100 g,
bio_teleport,ITEM,Teleportation Unit CBM,,
bio_time_freeze,ITEM,Time Dilation CBM,,
bio_tools,ITEM,Integrated Multitool CBM,,
bio_multimeter,ITEM,Integrated Multimeter CBM,,
bio_electrokit,ITEM,Integrated Circuitry Toolset CBM,,
bio_torsionratchet,ITEM,Joint Torsion Ratchet CBM,1000 g,
bio_jointservo,ITEM,Joint Servo CBM,1000 g,
bio_uncanny_dodge,ITEM,Uncanny Dodge CBM,1000 g,
bio_ups,ITEM,Unified Power System CBM,700 g,
bio_watch,ITEM,Internal Chronometer CBM,10 g,
bio_water_extractor,ITEM,Water Extraction Unit CBM,100 g,
bio_syringe,ITEM,Intravenous Needletip CBM,10 g,
bio_weight,ITEM,Titanium Skeletal Bracing CBM,3000 g,
bio_taste_blocker,ITEM,Taste Modifier CBM,100 g,
bio_soporific,ITEM,Soporific Induction CBM,50 g,
bio_ankles,ITEM,Squeaky Ankles CBM,100 g,
bio_deformity,ITEM,Bionic-Induced Deformity CBM,,
bio_dis_acid,ITEM,Acidic Discharge CBM,700 g,
bio_dis_shock,ITEM,Electrical Discharge CBM,700 g,
bio_drain,ITEM,Electrical Drain CBM,900 g,
bio_itchy,ITEM,Itchy Metal Thing CBM,200 g,
bio_glowy,ITEM,Glowy Thing CBM,5 g,
bio_leaky,ITEM,Leaky Bionic CBM,600 g,
bio_noise,ITEM,Noisemaker CBM,250 g,
bio_nostril,ITEM,Bionic Nostril CBM,50 g,
bio_pokedeye,ITEM,Bionic Visual Impairment CBM,100 g,
bio_power_weakness,ITEM,Power Overload CBM,,
bio_shakes,ITEM,Bionic Short Circuit CBM,,
bio_sleepy,ITEM,Endocrine Enervator CBM,100 g,
bio_synaptic_regen,ITEM,Synaptic Regeneration System CBM,,
bio_spasm,ITEM,Motor Control Overstimulator CBM,,
bio_stiff,ITEM,Wire-Induced Stiffness CBM,,
bio_thumbs,ITEM,Self-Locking Thumbs CBM,50 g,
bio_trip,ITEM,Visual Disruptor CBM,100 g,
bio_voice,ITEM,Voice Remodulator CBM,100 g,
bio_faulty_electromagnetic_leak,ITEM,Electromagnetic Leak CBM,100 g,
bio_lampoil,ITEM,Oil Generator CBM,,
bio_faulty_grossfood,ITEM,Taste Fouler CBM,100 g,
bio_radleak,ITEM,Radioactive Leak CBM,100 g,
bio_recoil,ITEM,Recoil Compensators CBM,900 g,
bio_sleep_shutdown,ITEM,Sleep Mode Shutdown CBM,100 g,
bio_pitch_perfect,ITEM,Throwing Assist CBM,1000 g,
bio_robofac_xmleg,ITEM,Hub 01 XM-LEG,,
bio_robofac_xmarm,ITEM,Hub 01 XM-ARM,,
bio_robofac_xmback,ITEM,Hub 01 XM-BACK,,
bio_robofac_xmlens,ITEM,Hub 01 XM-LENS,,
feces_bird,ITEM,feces_bird,40 g,62 ml
feces_cow,ITEM,cow pie,750 g,250 ml
feces_dog,ITEM,dog dung,,
feces_manure,ITEM,feces_manure,250 g,125 ml
feces_roach,ITEM,feces_roach,,
fetid_goop,ITEM,fetid goop,750 g,1 L
insect_dust,ITEM,insect_dust,40 g,62 ml
shed_snakeskin_little,ITEM,shed snakeskin,30 g,100 ml
shed_snakeskin,ITEM,shed snakeskin,100 g,400 ml
shed_snakeskin_big,ITEM,big shed snakeskin,500 g,2 L
shed_snakeskin_giant,ITEM,gigantic shed snakeskin,1 kg,4 L
shed_snakeskin_scales,ITEM,shed_snakeskin_scales,3 kg,4 L
anesthetic,ITEM,anesthetic,714 mg,540 ml
